,0
0,235
1,372
2,289
3,323
4,486
5,297
6,843
7,253
8,441
9,977
10,20
11,691
12,733
13,864
14,302
15,553
16,728
17,393
18,960
19,163
20,668
21,478
22,425
23,476
24,42
25,911
26,920
27,23
28,205
29,2
30,578
31,953
32,823
33,258
34,345
35,422
36,55
37,506
38,83
39,153
40,73
41,963
42,926
43,718
44,458
45,875
46,95
47,619
48,283
49,37
50,753
51,741
52,38
53,877
54,831
55,257
56,614
57,120
58,721
59,857
60,86
61,84
62,680
63,228
64,912
65,192
66,473
67,972
68,792
69,868
70,279
71,501
72,140
73,851
74,830
75,225
76,35
77,604
78,350
79,226
80,296
81,106
82,600
83,191
84,498
85,314
86,676
87,127
88,782
89,615
90,771
91,227
92,534
93,944
94,958
95,364
96,625
97,609
98,468
99,180
100,58
101,450
102,7
103,348
104,860
105,832
106,657
107,998
108,416
109,135
110,645
111,667
112,301
113,209
114,682
115,464
116,471
117,355
118,872
119,883
120,983
121,795
122,593
123,177
124,117
125,352
126,507
127,270
128,867
129,869
130,87
131,957
132,112
133,621
134,652
135,175
136,167
137,291
138,261
139,389
140,577
141,812
142,538
143,583
144,592
145,141
146,714
147,992
148,477
149,24
150,193
151,598
152,40
153,931
154,361
155,107
156,624
157,902
158,280
159,394
160,315
161,966
162,88
163,813
164,636
165,231
166,603
167,13
168,407
169,917
170,252
171,828
172,309
173,49
174,346
175,349
176,856
177,896
178,561
179,981
180,128
181,955
182,182
183,951
184,666
185,640
186,214
187,310
188,746
189,961
190,264
191,299
192,366
193,673
194,11
195,465
196,488
197,288
198,965
199,694
200,427
201,208
202,550
203,130
204,12
205,846
206,905
207,492
208,720
209,150
210,562
211,569
212,80
213,245
214,859
215,207
216,85
217,440
218,460
219,268
220,567
221,844
222,14
223,699
224,548
225,71
226,491
227,451
228,539
229,496
230,886
231,497
232,525
233,967
234,543
235,858
236,222
237,523
238,331
239,881
240,762
241,96
242,152
243,910
244,528
245,161
246,431
247,760
248,489
249,925
250,672
251,463
252,508
253,97
254,75
255,769
256,260
257,44
258,634
259,919
260,582
261,234
262,622
263,740
264,399
265,22
266,316
267,430
268,732
269,997
270,197
271,434
272,754
273,220
274,436
275,392
276,706
277,628
278,794
279,238
280,202
281,409
282,595
283,847
284,602
285,385
286,874
287,32
288,320
289,396
290,78
291,742
292,74
293,914
294,806
295,591
296,505
297,681
298,295
299,43
300,370
301,894
302,571
303,133
304,185
305,729
306,156
307,304
308,878
309,224
310,969
311,386
312,67
313,979
314,565
315,387
316,54
317,390
318,363
319,66
320,418
321,354
322,559
323,412
324,511
325,124
326,90
327,781
328,763
329,791
330,629
331,948
332,69
333,19
334,990
335,70
336,159
337,515
338,512
339,378
340,218
341,371
342,438
343,3
344,935
345,722
346,456
347,28
348,710
349,678
350,204
351,584
352,454
353,756
354,64
355,126
356,705
357,276
358,115
359,267
360,827
361,47
362,143
363,656
364,770
365,65
366,379
367,956
368,123
369,837
370,388
371,377
372,653
373,0
374,942
375,432
376,941
377,866
378,332
379,748
380,797
381,513
382,744
383,114
384,381
385,229
386,421
387,359
388,104
389,173
390,249
391,908
392,172
393,325
394,757
395,818
396,519
397,424
398,240
399,563
400,347
401,369
402,196
403,151
404,751
405,885
406,940
407,661
408,798
409,286
410,560
411,335
412,775
413,788
414,474
415,799
416,978
417,723
418,487
419,551
420,687
421,419
422,494
423,581
424,585
425,964
426,324
427,400
428,606
429,738
430,181
431,518
432,134
433,586
434,504
435,522
436,889
437,989
438,663
439,171
440,761
441,564
442,605
443,626
444,809
445,256
446,973
447,39
448,800
449,160
450,217
451,195
452,155
453,783
454,25
455,719
456,708
457,479
458,839
459,986
460,4
461,100
462,887
463,552
464,888
465,922
466,165
467,633
468,826
469,236
470,136
471,531
472,306
473,307
474,333
475,110
476,103
477,273
478,417
479,36
480,970
481,27
482,449
483,101
484,145
485,215
486,251
487,322
488,248
489,825
490,984
491,9
492,764
493,627
494,514
495,121
496,484
497,674
498,579
499,132
500,974
501,752
502,5
503,303
504,174
505,1
506,793
507,164
508,655
509,683
510,669
511,862
512,170
513,445
514,243
515,16
516,524
517,879
518,247
519,845
520,520
521,819
522,188
523,947
524,139
525,17
526,773
527,398
528,589
529,916
530,21
531,641
532,535
533,777
534,789
535,376
536,41
537,644
538,572
539,576
540,255
541,971
542,988
543,542
544,105
545,991
546,131
547,274
548,849
549,483
550,863
551,146
552,60
553,509
554,189
555,318
556,772
557,549
558,853
559,57
560,570
561,796
562,995
563,212
564,237
565,876
566,178
567,138
568,918
569,447
570,462
571,397
572,129
573,499
574,690
575,444
576,266
577,109
578,821
579,395
